EXHAUST TEMP 1,EXHAUST TEMP 2,EXHAUST TEMP 3,EXHAUST TEMP 4,EXHAUST TEMP 5,EXHAUST TEMP 6,KW,AMP,FREQ,LO IN TEMP,CPW IN TEMP,CPW OUT TEMP,SCAV TEMP,FO TEMP,TC IN TEMP,TC OUT TEMP,LO PRESS,FO PRESS,CW PRESS,SCAV AIR PRESS,TC LO PRESS,Rack Index,AvgEGT
408.0,408,399,386,386.0,427.0,231,470,60,61,32,36,33.0,104,503,433,5.0,7.7,1.8,0.8,2.5,17.93,402.3333333333333
419.0,422,406,424,424.0,408.0,420,679,60,62,33,40,36.0,106,526,294,4.8,6.9,3.2,1.8,2.7,23.6,417.1666666666667
416.0,398,406,428,431.0,423.0,246,336,60,61,31,48,34.0,34,517,423,5.3,3.6,1.8,0.9,2.9,18.38,417.0
416.0,428,409,414,409.0,464.0,405,625,60,62,33,39,44.0,42,520,483,4.9,6.4,3.2,2.0,2.7,23.15,423.3333333333333
407.0,391,390,428,405.0,420.0,232,345,60,61,35,52,37.0,45,519,415,5.2,6.4,1.7,1.0,2.8,17.96,406.8333333333333
405.0,407,391,399,380.0,422.0,249,506,60,62,36,40,34.0,45,504,426,4.9,6.3,1.8,0.9,2.7,18.47,400.6666666666667
406.0,419,405,411,399.0,444.0,377,594,60,62,33,38,41.0,59,589,390,4.9,7.1,1.8,1.5,2.7,22.31,414.0
423.0,388,394,427,406.0,402.0,181,428,60,61,34,47,35.0,52,535,436,5.3,7.4,1.7,0.5,2.9,16.43,406.6666666666667
389.0,399,381,386,347.0,347.0,175,356,60,61,35,38,35.0,51,491,431,5.0,7.4,1.8,0.6,2.9,16.25,374.8333333333333
403.0,417,406,407,398.0,442.0,388,622,60,62,35,41,45.0,50,515,392,4.9,7.1,3.1,1.7,2.7,22.64,412.1666666666667
417.0,391,394,427,406.0,405.0,177,248,60,61,34,49,35.0,52,535,438,5.3,7.3,1.7,0.6,2.9,16.31,406.6666666666667
389.0,398,381,391,354.0,402.0,175,361,60,61,35,38,35.0,52,491,431,5.0,7.2,1.8,0.6,2.9,16.25,385.8333333333333
415.0,391,400,430,403.0,417.0,202,267,60,61,35,60,37.0,55,514,437,5.3,7.4,3.2,0.7,2.9,17.06,409.3333333333333
398.0,406,383,400,372.0,410.0,264,396,60,61,56,62,37.0,54,498,438,5.0,7.1,3.2,0.6,2.8,18.92,394.8333333333333
422.0,391,391,430,410.0,406.0,181,251,60,61,35,51,36.0,55,519,440,5.2,7.3,1.8,0.6,2.9,16.43,408.3333333333333
398.0,403,386,397,361.0,407.0,185,351,60,61,36,39,36.0,55,498,425,5.0,6.9,1.8,0.6,2.8,16.55,392.0
414.0,394,399,431,408.0,416.0,194,287,60,61,37,53,37.0,52,519,435,5.2,6.8,1.8,0.7,2.9,16.82,410.3333333333333
401.0,406,385,399,368.0,410.0,190,412,60,61,39,41,37.0,52,501,436,5.0,6.3,1.8,0.7,2.8,16.7,394.8333333333333
411.0,396,402,432,422.0,426.0,246,255,60,60,35,52,37.0,51,529,427,5.2,6.9,1.8,0.9,2.8,18.38,414.8333333333333
410.0,414,397,406,381.0,427.0,251,431,60,62,36,40,37.0,50,511,431,5.0,7.1,1.8,0.9,2.7,18.53,405.8333333333333
400.0,319,397,413,406.0,419.0,217,321,60,60,32,49,34.0,54,521,452,5.2,7.3,3.0,0.9,2.9,17.51,392.3333333333333
