KW,LO IN TEMP,SCAV TEMP,FO TEMP,TC IN TEMP,TC OUT TEMP,LO PRESS,FO PRESS,CW PRESS,SCAV AIR PRESS,TC LO PRESS,Rack Index,AvgEGT
146,61,30.0,105,474,432,5.1,8.4,1.9,0.4,3.1,15.38,381.8333333333333
380,60,35.0,97,498,358,5.4,6.6,2.3,1.5,3.0,22.4,384.5
380,60,35.0,98,495,344,5.4,6.6,1.9,1.7,3.0,22.4,388.6666666666667
350,60,35.0,99,498,364,5.4,6.6,1.9,1.5,3.0,21.5,388.6666666666667
195,59,33.0,103,481,405,5.5,6.7,1.9,0.6,3.2,16.85,383.0
188,62,33.0,104,486,343,4.1,7.6,2.0,0.6,2.3,16.64,395.8333333333333
353,60,35.0,102,508,369,5.4,6.4,3.3,1.5,3.0,21.59,392.0
418,60,36.0,102,510,365,5.3,6.4,1.9,1.8,3.0,23.54,397.8333333333333
409,61,36.0,103,515,344,3.4,6.9,1.9,1.9,3.0,23.27,343.6666666666667
400,60,36.0,102,515,365,5.3,6.9,1.8,1.9,3.0,23.0,406.0
410,61,36.0,102,515,365,5.3,6.9,1.8,2.0,3.0,23.3,405.0
373,61,39.0,103,521,377,5.4,7.2,1.9,1.7,3.0,22.19,411.3333333333333
414,61,37.0,104,516,367,5.4,8.3,3.1,1.8,3.0,23.42,402.1666666666667
419,61,40.0,103,504,373,5.3,7.2,1.9,2.0,3.0,23.57,414.0
433,62,35.0,104,515,389,4.9,7.3,2.0,2.0,2.7,23.99,425.3333333333333
432,62,36.0,103,516,360,4.8,7.3,1.9,2.0,2.7,23.96,427.8333333333333
374,61,40.0,103,521,377,5.3,7.5,1.9,1.7,3.0,22.22,411.3333333333333
437,61,39.0,104,532,374,5.2,7.1,1.8,2.1,2.9,24.11,422.8333333333333
390,58,36.0,103,531,389,5.3,7.1,3.1,1.6,3.0,22.7,416.6666666666667
203,61,34.0,104,516,427,5.3,7.2,1.7,0.7,3.0,17.09,406.0
222,62,34.0,105,510,444,4.9,7.6,1.8,0.7,2.7,17.66,408.8333333333333
426,61,38.0,101,537,386,5.2,7.4,3.1,1.9,2.9,23.78,424.3333333333333
237,61,36.0,103,521,400,5.2,7.2,1.7,0.8,3.0,18.11,430.5
241,62,36.0,104,528,389,4.8,7.3,1.8,0.9,2.7,18.23,411.6666666666667
393,61,39.0,103,543,359,5.3,7.2,1.8,1.8,2.9,22.79,421.6666666666667
537,61,38.0,105,543,369,5.2,7.2,1.8,0.9,3.0,27.11,426.0
238,62,38.0,106,529,401,4.7,7.3,1.8,0.9,2.7,18.14,411.8333333333333
420,61,38.0,105,586,391,5.3,7.4,3.1,1.8,2.5,23.6,429.5
237,61,36.0,105,528,392,5.2,7.3,0.8,0.8,3.0,18.11,430.1666666666667
236,62,37.0,107,529,376,4.6,7.3,0.9,0.8,2.8,18.08,364.6666666666667
412,61,38.0,102,549,398,5.2,7.0,3.1,1.7,3.0,23.36,426.8333333333333
238,61,37.0,104,540,401,5.2,7.2,1.8,0.8,3.0,18.14,425.8333333333333
238,62,37.0,100,531,415,4.2,7.3,1.8,0.8,2.8,18.14,417.5
413,61,38.0,100,549,397,5.2,7.1,1.8,1.8,2.9,23.39,434.0
238,61,38.0,106,541,403,5.2,7.2,1.7,0.9,3.0,18.14,429.0
236,62,38.0,105,537,395,5.1,7.3,1.9,1.0,2.8,18.08,417.3333333333333
414,61,38.0,101,549,397,5.2,7.0,3.2,1.8,2.8,23.42,435.3333333333333
236,61,38.0,105,547,396,5.2,7.2,1.8,0.9,3.0,18.08,435.8333333333333
241,62,38.0,106,535,394,4.8,7.3,1.8,0.8,2.8,18.23,418.0
410,61,37.0,102,546,297,5.2,6.9,1.7,1.7,2.8,23.3,431.8333333333333
237,61,34.0,103,518,422,5.3,7.0,1.8,0.8,2.9,18.11,414.3333333333333
231,61,33.0,104,503,433,5.0,7.7,1.8,0.8,2.5,17.93,402.3333333333333
420,62,36.0,106,526,294,4.8,6.9,3.2,1.8,2.7,23.6,417.1666666666667
246,61,34.0,34,517,423,5.3,3.6,1.8,0.9,2.9,18.38,417.0
405,62,44.0,42,520,483,4.9,6.4,3.2,2.0,2.7,23.15,423.3333333333333
232,61,37.0,45,519,415,5.2,6.4,1.7,1.0,2.8,17.96,406.8333333333333
249,62,34.0,45,504,426,4.9,6.3,1.8,0.9,2.7,18.47,400.6666666666667
377,62,41.0,59,589,390,4.9,7.1,1.8,1.5,2.7,22.31,414.0
181,61,35.0,52,535,436,5.3,7.4,1.7,0.5,2.9,16.43,406.6666666666667
